year_level,strand,topic,subtopic,skill,difficulty,marks,exam_year,paper,question_number,source_type,source,question_text,answer,accepted_answers,hint,explanation,image_url,active
6,number,Rates & Ratio,Direct proportion,Scale a quantity using direct proportion,standard,2,2025,Paper 1,18,past_paper,PSR Mathematics Paper 1 2025,Afif can fold five paper planes in 8 minutes. How many paper planes can Afif fold in 40 minutes?,25,25|25 paper planes,Compare 40 minutes with 8 minutes. How many times as long is it?,"40 ÷ 8 = 5, so the time is 5 times as long. 5 × 5 = 25 paper planes.",,True
6,number,Factors & Multiples,Multiples,Find specified multiples and add them,standard,2,2025,Paper 1,19,past_paper,PSR Mathematics Paper 1 2025,Find the sum of the 7th and 9th multiples of 8.,128,128,Find 7 × 8 and 9 × 8 first.,The 7th multiple of 8 is 56 and the 9th is 72. Their sum is 56 + 72 = 128.,,True
6,number,Fractions,Fraction of a quantity,Find the amount remaining after a fractional part is removed,standard,2,2025,Paper 1,20,past_paper,PSR Mathematics Paper 1 2025,A fruit seller had 90 pears. He sold 3/5 of his pears. How many pears did he have left?,36,36|36 pears,"First find 3/5 of 90, then subtract that amount from 90.",3/5 of 90 = 54 pears sold. 90 − 54 = 36 pears left.,,True
6,number,Factors & Multiples,Lowest Common Multiple,Find the LCM of two numbers,standard,2,2025,Paper 1,21,past_paper,PSR Mathematics Paper 1 2025,Find the Lowest Common Multiple (LCM) of 6 and 15.,30,30,List multiples of 6 and 15 until you find the first common one.,"Multiples of 6 include 6, 12, 18, 24, 30. Multiples of 15 include 15, 30. The LCM is 30.",,True
6,number,Factors & Multiples,Common multiples,Identify numbers that are multiples of two given numbers,standard,2,2025,Paper 1,22,past_paper,PSR Mathematics Paper 1 2025,"From 12, 30, 45, 15, 28 and 60, select the numbers that are multiples of both 2 and 10.","30, 60","30,60|30 60|60,30|60 30",A number that is a multiple of both 2 and 10 must be divisible by 10.,"Among the given numbers, 30 and 60 are divisible by 10. Therefore the answers are 30 and 60.",,True
6,number,Whole Numbers,Multiplication by powers of 10,Use place-value relationships involving ×10 and ×100,standard,2,2025,Paper 1,23,past_paper,PSR Mathematics Paper 1 2025,Solve: 23 × 100 = __ × 10. What number goes in the box?,230,230,"Work out 23 × 100, then divide that result by 10.","23 × 100 = 2,300. Since 230 × 10 = 2,300, the missing number is 230.",,True
6,measurement,Perimeter,Composite rectilinear figures,Find the perimeter of a figure made from equal rectangles,standard,2,2025,Paper 1,24,past_paper,PSR Mathematics Paper 1 2025,Figure 2 is made up of five equal rectangles. Each rectangle has a length of 6 cm and a breadth of 3 cm. Find the perimeter of the whole figure.,42,42|42 cm|42cm,Trace only the outside boundary of the whole shape. Do not count the lines inside the figure.,The outside boundary has lengths 12 + 6 + 3 + 3 + 6 + 3 + 3 + 6 = 42 cm.,images/psr_2025_p1_q24_diagram.png,True
6,geometry,Lines,Parallel lines,Identify parallel line segments on a square grid,standard,2,2025,Paper 1,25,past_paper,PSR Mathematics Paper 1 2025,Which pair of lines in the square grid are parallel?,AF // CD,AF//CD|AF // CD|FA // DC|FA//DC|CD // AF|CD//AF,Compare the direction and steepness of each line segment using the square grid.,"AF and CD have the same gradient, so AF is parallel to CD.",images/psr_2025_p1_q25_diagram.png,True
6,statistics,Tables & Tallies,Reading and comparing tally data,Compare frequencies shown in a tally chart,standard,2,2025,Paper 1,26,past_paper,PSR Mathematics Paper 1 2025,Table 1 shows a tally chart of the age groups of teachers at a school. How many fewer teachers are there in their twenties compared to their forties?,7,7|7 teachers,"Count the tallies for the twenties and the forties, then find the difference.",There are 6 teachers in their twenties and 13 in their forties. 13 − 6 = 7.,images/psr_2025_p1_q26_diagram.png,True
6,number,Fractions,Addition and subtraction,Evaluate an expression with fractions of unlike denominators,standard,2,2025,Paper 1,27,past_paper,PSR Mathematics Paper 1 2025,Evaluate: 3/9 + 2/3 − 1/9,8/9,8/9,Write all the fractions with denominator 9.,2/3 = 6/9. Therefore 3/9 + 6/9 − 1/9 = 8/9.,,True
6,number,Decimals,Addition with missing digits,Find missing digits in a decimal addition,challenge,2,2025,Paper 1,28,past_paper,PSR Mathematics Paper 1 2025,"Fill in the two missing digits in the decimal addition shown. Give the top missing digit first, followed by the lower missing digit.","4, 8","4,8|4, 8|4 8","Start with the tenths column, then use the ones column and any carrying.","The tenths give ? + 5 = 9, so the top digit is 4. Then 3 + ? must make 11, so the lower digit is 8. Thus 63.4 + 8.5 = 71.9.",images/psr_2025_p1_q28_diagram.png,True
6,geometry,Symmetry,Reflection in a horizontal line,Complete a shape by reflecting it across a line of symmetry,standard,2,2025,Paper 1,29,past_paper,PSR Mathematics Paper 1 2025,AB is the line of symmetry. Complete the symmetrical shape shown on the dot grid.,MANUAL_DRAWING_REQUIRED,manual review,Each point below AB should be the same perpendicular distance from AB as its matching point above AB.,This is a drawing-response question. It is preserved in the bank but should be activated only after the app supports drawing or teacher manual review.,images/psr_2025_p1_q29_diagram.png,False
6,number,Rates & Ratio,Simplifying ratios,Write and simplify a ratio from tabulated quantities,standard,2,2025,Paper 1,30,past_paper,PSR Mathematics Paper 1 2025,Sarah has 35 hair clips and Husna has 21 hair clips. What is the ratio of Sarah's hair clips to Husna's hair clips? Give your answer in simplest form.,5:3,5:3|5 : 3,Write the ratio 35:21 and divide both parts by their highest common factor.,35:21 ÷ 7 = 5:3.,,True
6,measurement,Capacity & Volume,Recipe scaling,Find the amount of liquid needed for one serving,standard,1,2025,Paper 1,31(a),past_paper,PSR Mathematics Paper 1 2025,A strawberry milkshake recipe uses 500 ml of milk to make 2 glasses. How much milk is needed for one glass?,250,250|250 ml|250ml,Divide the amount of milk by the number of glasses.,500 ml ÷ 2 = 250 ml.,,True
6,number,Rates & Ratio,Direct proportion,Scale a recipe to a larger number of servings,standard,2,2025,Paper 1,31(b),past_paper,PSR Mathematics Paper 1 2025,A strawberry milkshake recipe uses 12 strawberries to make 2 glasses. How many strawberries are needed to make 8 glasses?,48,48|48 strawberries,Find how many times larger 8 glasses is than 2 glasses.,"8 ÷ 2 = 4, so 12 × 4 = 48 strawberries.",,True
6,measurement,Time,Elapsed time across midnight,Calculate a time interval that crosses midnight,standard,3,2025,Paper 1,32,past_paper,PSR Mathematics Paper 1 2025,An aeroplane left Jakarta at 2335 hours and arrived in Bandar Seri Begawan at 0155 the following day. How long did the journey take?,2 hours 20 minutes,2 hours 20 minutes|2 h 20 min|2h20min|2:20,"Find the time from 23:35 to midnight, then add the time from midnight to 01:55.",23:35 to 24:00 is 25 minutes. 00:00 to 01:55 is 1 hour 55 minutes. Total = 2 hours 20 minutes.,,True
6,statistics,Averages,Missing value from a mean,Find a missing data value when the average is known,standard,3,2025,Paper 1,33,past_paper,PSR Mathematics Paper 1 2025,"Mira read 7 pages on Monday, 5 on Tuesday and 8 on Wednesday. Her average from Monday to Thursday was 8 pages per day. How many pages did she read on Thursday?",12,12|12 pages,Use average × number of days to find the total number of pages for all four days.,Total pages = 8 × 4 = 32. Monday to Wednesday = 7 + 5 + 8 = 20. Thursday = 32 − 20 = 12.,,True
6,number,Fractions,Fractional spending word problems,Find an original amount from a fraction spent and a remaining amount,challenge,3,2025,Paper 1,34,past_paper,PSR Mathematics Paper 1 2025,Rayyan spent 2/3 of his money on a tennis racket. He also bought sports shoes for $34.50 and had $25.50 left. How much money did he have at first?,180,180|180.00|$180|$180.00,"After spending 2/3 on the racket, 1/3 of the original money remained for the shoes and the amount left.","$34.50 + $25.50 = $60. This is 1/3 of the original amount, so the original amount was $60 × 3 = $180.",,True
6,geometry,Angles,Angles at intersecting straight lines,Use straight-line and vertically opposite angle relationships,challenge,3,2025,Paper 1,35,past_paper,PSR Mathematics Paper 1 2025,"PQ and RS are straight lines. Given ∠POT = 33° and ∠ROQ = 150°, find ∠g.",117,117|117°,"Use vertically opposite angles first, then subtract the 33° angle.","∠POS is vertically opposite ∠ROQ, so ∠POS = 150°. Since ∠POT = 33°, ∠g = 150° − 33° = 117°.",images/psr_2025_p1_q35_diagram.png,True
6,thinking,Pictorial Algebra,Unknown values,Solve a pictorial equation and evaluate a new expression,challenge,3,2025,Paper 1,36,past_paper,PSR Mathematics Paper 1 2025,Five doughnuts multiplied by three identical cups equals 420. One doughnut equals 4. Find the value of one cup plus one doughnut.,11,11,"Use the value of one doughnut to find the value of the five doughnuts, then solve for one cup.","Five doughnuts = 5 × 4 = 20. So 20 × (3 cups) = 420, giving 3 cups = 21 and one cup = 7. Therefore cup + doughnut = 7 + 4 = 11.",images/psr_2025_p1_q36_diagram.png,True
6,number,Algebra,Model method / equivalent units,Solve a two-item price relationship problem,challenge,3,2025,Paper 1,37,past_paper,PSR Mathematics Paper 1 2025,A bag costs 3 times as much as a pencil box. Maria paid $54 for 2 bags and 3 pencil boxes. What is the difference in price between a bag and a pencil box?,12,12|12.00|$12|$12.00,Let one pencil box be one unit. Then one bag is three units.,"Two bags and three pencil boxes = 2×3 + 3 = 9 units. $54 ÷ 9 = $6 per unit. Bag = $18 and pencil box = $6, so the difference is $12.",,True
6,geometry,Angles,Angles formed by folding,Use reflection/folding and angle-sum relationships,challenge,3,2025,Paper 1,38,past_paper,PSR Mathematics Paper 1 2025,A rectangular piece of paper was folded as shown in Figure 4. Find ∠C.,20,20|20°,"Use the fold to identify equal reflected angles, then use the angle sum of the triangle.",The fold makes the corresponding angle at the left vertex 70°. The marked angle at the lower vertex is 90°. Therefore ∠C = 180° − 70° − 90° = 20°.,images/psr_2025_p1_q38_diagram.png,True
6,measurement,Area,Percentage change in dimensions,Find the new area after both dimensions increase by a percentage,challenge,3,2025,Paper 1,39,past_paper,PSR Mathematics Paper 1 2025,"A rectangle has length 10 cm and breadth 6 cm. If both the length and breadth are increased by 50%, what is the new area?",135,135|135 cm2|135 cm²|135cm2|135cm²,Increase each dimension by 50% before finding the area.,New length = 10 × 1.5 = 15 cm. New breadth = 6 × 1.5 = 9 cm. New area = 15 × 9 = 135 cm².,,True
6,thinking,Multi-step Problems,Relationships between quantities,Use two difference relationships to find a total,standard,3,2025,Paper 1,40,past_paper,PSR Mathematics Paper 1 2025,"There are 12 more men than women in a hall. The number of children is 10 less than the number of men. If there are 43 children, how many adults are there in the hall?",94,94|94 adults,"Use the number of children to find the number of men first, then find the number of women.",Men = 43 + 10 = 53. Women = 53 − 12 = 41. Adults = 53 + 41 = 94.,,True
